user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
1837216	Fabian Couto	1	0	1	2014-01-23	2014-01-23	NULL	1	2014-01-23	2014-01-23
130472	fx99	3	0	1	2014-05-13	2014-05-13	NULL	1	2014-05-13	2014-05-13
454589	sabas88	1	0	0	2014-01-02	NULL	NULL	1	2014-01-02	2014-01-02
2301958	dbelcham	1	0	1	2015-07-29	2015-07-29	NULL	1	2015-07-28	2015-07-28
1308159	MartinPil	3	0	1	2013-03-27	2013-03-27	NULL	1	2013-03-27	2013-03-27
1187049	onewayround	1	0	1	2013-05-13	2013-05-13	NULL	1	2013-05-13	2013-05-13
322600	Viskovitz	1	0	1	2014-09-01	2014-09-01	NULL	1	2014-09-01	2014-09-01
616422	Taimunozhan	1	0	1	2012-03-03	2012-03-03	NULL	1	2012-03-03	2012-03-03
521407	Estudios del Discurso	2	0	2	2011-09-13	2011-09-13	NULL	1	2011-09-13	2011-09-13
1244902	mario68uy	2	0	2	2013-03-01	2013-03-01	NULL	1	2013-03-01	2013-03-01
545352	The Blankis	4	0	4	2011-10-28	2011-10-28	NULL	1	2011-10-28	2011-10-28
42191	Jano John Akim Franke	1	0	0	2013-02-10	NULL	NULL	1	2013-02-10	2013-02-10
1754329	pelo88	18	0	15	2013-09-23	2013-09-23	NULL	2	2014-03-22	2013-12-12
1014878	lumasifi	3	0	0	2012-10-30	NULL	NULL	2	2012-12-21	2013-01-07
1293874	Tio Ho	1	0	0	2013-03-22	NULL	NULL	1	2013-03-22	2013-03-22
1873953	Nestor Masci	28	0	15	2014-01-08	2014-01-08	NULL	3	2014-04-29	2014-01-21
2026866	CAROLINAERRA	2	0	2	2014-04-11	2014-04-11	NULL	1	2014-04-11	2014-04-11
45027	PA94	3	0	0	2009-07-28	NULL	NULL	1	2009-07-28	2009-07-28
426855	CesarsanCL	1	0	1	2012-06-07	2012-06-07	NULL	1	2012-06-07	2012-06-07
3246045	hprieto	12	0	6	2015-10-06	2015-10-06	NULL	4	2015-11-03	2015-10-16
61561	emes	1	0	1	2015-12-12	2015-12-12	NULL	1	2015-12-12	2015-12-12
463507	naoliv	7	0	0	2015-07-17	NULL	NULL	2	2015-07-19	2015-07-19
267563	Gustavo Castro	33	0	0	2010-04-16	NULL	NULL	1	2010-04-16	2010-04-16
559271	Martin Aquino	1	0	1	2015-10-20	2015-10-20	NULL	1	2015-10-20	2015-10-20
152074	beweta	1	0	0	2013-11-02	NULL	NULL	1	2013-11-02	2013-11-02
873149	Vizrt Latam	2	0	0	2012-09-10	NULL	NULL	2	2012-09-26	2012-09-26
159988	nicolasnu	1	0	1	2014-10-10	2014-10-10	NULL	1	2014-10-10	2014-10-10
2775997	Gabriel Fernandez	2	0	2	2015-03-22	2015-03-22	NULL	1	2015-03-22	2015-03-22
196617	venerdi	42	0	35	2015-06-18	2015-06-18	NULL	1	2015-06-18	2015-06-18
912433	wohnung058	4	0	1	2012-12-15	2012-12-15	NULL	1	2012-12-15	2012-12-15
483466	victoria	1	0	0	2011-07-06	NULL	NULL	1	2011-07-06	2011-07-06
16465	tmtm	3	0	3	2012-02-15	2012-02-15	NULL	1	2012-02-15	2012-02-15
941602	CarlosCal	2	0	2	2012-10-02	2012-10-02	NULL	1	2012-10-02	2012-10-02
682632	gabt	34	0	31	2013-06-14	2013-06-14	NULL	1	2013-06-14	2013-06-14
2398639	smokelle smokelles	1	0	0	2014-10-14	NULL	NULL	1	2014-10-13	2014-10-13
2520204	jacp138	2	0	2	2014-12-15	2014-12-15	NULL	1	2014-12-14	2014-12-14
2372523	natykatz	4	0	3	2014-10-02	2014-10-02	NULL	3	2014-10-10	2014-10-14
3451934	gergon	1	0	1	2015-12-12	2015-12-12	NULL	1	2015-12-12	2015-12-12
147789	FelipeO	12	0	11	2009-07-21	2009-07-21	NULL	1	2009-07-21	2009-07-21
2847408	chewew	3	0	3	2015-04-21	2015-04-21	NULL	1	2015-04-21	2015-04-21
499624	cristianuy	1	0	1	2011-08-05	2011-08-05	NULL	1	2011-08-05	2011-08-05
1586170	AgustinGonzalez	3	0	3	2013-07-09	2013-07-09	NULL	1	2013-07-09	2013-07-09
5164	woodpeck	1	0	0	2013-08-06	NULL	NULL	1	2013-08-06	2013-08-06
943942	Thomas Fisher	2	0	2	2012-10-03	2012-10-03	NULL	1	2012-10-03	2012-10-03
1935509	cdardano	1	0	1	2015-01-21	2015-01-21	NULL	1	2015-01-21	2015-01-21
2027206	joacoferrer3	1	0	1	2014-04-10	2014-04-10	NULL	1	2014-04-10	2014-04-10
529280	orasio	1	0	0	2011-09-29	NULL	NULL	1	2011-09-28	2011-09-28
190389	HHCacher	7	0	0	2012-09-16	NULL	NULL	4	2013-02-24	2012-12-17
3393151	Eduardo Octavio Nina Pereda	1	0	1	2015-11-17	2015-11-17	NULL	1	2015-11-17	2015-11-17
2224	Kolossos	1	0	0	2012-10-20	NULL	NULL	1	2012-10-20	2012-10-20
445843	Airwolfless	8	0	8	2011-07-01	2011-07-01	NULL	1	2011-06-30	2011-06-30
437343	sebaturista	3	0	2	2011-04-14	2011-04-14	NULL	1	2011-04-14	2011-04-14
3193839	Crashlaw	55	0	19	2015-08-28	2015-08-28	NULL	3	2015-09-05	2015-09-05
575545	ipworkers	45	0	41	2012-01-18	2012-01-18	NULL	2	2012-02-12	2012-03-02
757369	gnande	2	0	2	2012-07-24	2012-07-24	NULL	1	2012-07-24	2012-07-24
2411950	fersie59	3	0	3	2014-10-20	2014-10-20	NULL	1	2014-10-20	2014-10-20
381228	luchomagia	9	0	5	2010-12-08	2010-12-08	NULL	1	2010-12-08	2010-12-08
740615	Leonardo Mendez	5	0	0	2012-07-17	NULL	NULL	1	2012-07-17	2012-07-17
545873	Amasso	1	0	0	2011-10-29	NULL	NULL	1	2011-10-29	2011-10-29
66116	astiam	220	8	148	2008-09-06	2008-09-06	2008-09-06	3	2009-04-01	2008-12-13
18144	leoh	19	0	18	2009-12-28	2009-12-28	NULL	2	2010-07-07	2010-02-26
180445	inodoro	1	0	1	2014-07-24	2014-07-24	NULL	1	2014-07-24	2014-07-24
149606	walo	2	0	0	2012-10-07	NULL	NULL	1	2012-10-07	2012-10-07
54082	Voltaire	1062	21	272	2008-11-13	2008-11-13	2008-11-13	1	2008-11-12	2008-11-12
2609030	silvadiego1512	6	0	1	2015-01-27	2015-01-27	NULL	1	2015-01-27	2015-01-27
361150	nconde	2	0	0	2012-06-15	NULL	NULL	2	2014-03-06	2014-03-06
2094961	Hotel Bahamas	2	0	1	2014-05-27	2014-05-27	NULL	1	2014-05-27	2014-05-27
365548	Jayson	7	0	1	2010-11-01	2010-11-01	NULL	1	2010-11-01	2010-11-01
436419	wvdp	1	0	0	2014-03-26	NULL	NULL	1	2014-03-26	2014-03-26
6270	mikes	1596	180	1596	2007-11-01	2007-11-01	2007-11-01	2	2007-12-21	2007-10-31
250000	Mauricio Campiglia	849	12	680	2010-03-21	2010-03-21	2010-03-22	13	2011-04-04	2011-04-16
2475689	mariannissima	1	0	0	2014-11-20	NULL	NULL	1	2014-11-20	2014-11-20
20587	balrog-kun	1	0	0	2009-07-23	NULL	NULL	1	2009-07-22	2009-07-22
679010	Alpargator	3	0	0	2012-05-10	NULL	NULL	1	2012-05-10	2012-05-10
3005724	Mauricio Machado	2	0	2	2015-06-22	2015-06-22	NULL	1	2015-06-22	2015-06-22
360183	wille	19	0	19	2011-01-24	2011-01-24	NULL	6	2012-10-22	2012-08-18
675119	Germán Brea	2	0	0	2012-05-05	NULL	NULL	1	2012-05-05	2012-05-05
1399	Gagravarr	1	1	1	2007-03-18	2007-03-18	2007-03-18	1	2007-03-18	2007-03-18
916651	liceo42	13	0	6	2012-09-25	2013-11-12	NULL	2	2013-04-20	2013-10-11
27335	hyto	4	1	4	2009-06-04	2009-06-04	2009-06-04	1	2009-06-04	2009-06-04
1183952	Santga	4	0	2	2013-01-03	2013-01-03	NULL	2	2013-01-20	2013-01-12
2911732	sorianocom	1	0	0	2015-08-07	NULL	NULL	1	2015-08-07	2015-08-07
1945676	Zmartmedia	1	0	1	2014-02-20	2014-02-20	NULL	1	2014-02-20	2014-02-20
1587686	El_Bocho	10	0	9	2013-06-30	2013-06-30	NULL	2	2014-02-28	2013-11-23
26348	Rodolphe Quiédeville	1	0	0	2010-10-18	NULL	NULL	1	2010-10-18	2010-10-18
37109	Baruch	1	0	0	2009-06-18	NULL	NULL	1	2009-06-18	2009-06-18
380089	ingenios	183	0	20	2010-12-05	2010-12-05	NULL	3	2010-12-26	2011-01-04
2457695	Raúl Emilio Correa Díaz	13	0	3	2014-11-11	2014-11-11	NULL	3	2014-11-12	2014-11-11
1968445	Fernando Álvarez Brito	1	0	0	2014-03-05	NULL	NULL	1	2014-03-04	2014-03-04
2485473	Rodrigo_S	1	0	1	2014-11-25	2014-11-25	NULL	1	2014-11-25	2014-11-25
648768	alvaroveira	3	0	3	2012-04-06	2012-04-06	NULL	1	2012-04-06	2012-04-06
211657	pablopareja	1001	0	525	2010-09-17	2010-09-17	NULL	4	2010-10-09	2010-10-11
947194	tatusera	1	0	0	2012-10-06	NULL	NULL	1	2012-10-06	2012-10-06
2491419	Elcolorin123	3	0	3	2014-11-29	2014-11-29	NULL	2	2014-11-30	2014-11-29
2344498	hybridOL	1	0	0	2016-01-07	NULL	NULL	1	2016-01-07	2016-01-07
437598	dmgroom_ct	13	1	13	2012-03-25	2012-03-25	2012-03-25	1	2012-03-25	2012-03-25
808058	prosa	3	0	1	2012-08-15	2012-08-15	NULL	1	2012-08-15	2012-08-15
2420319	IlCalmo	1	0	1	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
160294	FABIOR	5	0	0	2009-08-19	NULL	NULL	1	2009-08-19	2009-08-19
1242446	Datalogic	12	0	12	2013-02-27	2013-02-27	NULL	1	2013-02-27	2013-02-27
2398077	Juanomarca	2	0	0	2014-10-13	NULL	NULL	1	2014-10-13	2014-10-13
1840585	VictorUY	1	0	1	2013-12-12	2013-12-12	NULL	1	2013-12-12	2013-12-12
3008465	Andres Gervaz	3	0	0	2015-06-23	NULL	NULL	1	2015-06-23	2015-06-23
1345867	Sebastian Villamayor	6	0	6	2013-04-10	2013-04-10	NULL	2	2013-09-24	2013-11-19
242901	Matungos	2	0	1	2010-03-08	2010-03-08	NULL	2	2011-01-13	2011-01-13
2385962	roaven	1	0	0	2015-02-28	NULL	NULL	1	2015-02-28	2015-02-28
250759	cknu	14	0	0	2010-03-22	NULL	NULL	2	2010-03-24	2010-03-23
209662	grynk	108	0	0	2009-12-17	NULL	NULL	2	2010-04-23	2009-12-19
1397001	ktouy	158	0	104	2013-04-27	2013-04-27	NULL	1	2013-04-27	2013-04-27
852112	Mesana	1	0	1	2015-04-20	2015-04-20	NULL	1	2015-04-20	2015-04-20
1701196	vfabian1975	6	0	6	2013-08-01	2013-08-01	NULL	1	2013-08-01	2013-08-01
1840658	nesf	2	0	0	2013-12-12	NULL	NULL	1	2013-12-12	2013-12-12
167719	Schubert Fernandez	3	0	0	2009-09-05	NULL	NULL	1	2009-09-05	2009-09-05
596033	ciudad de la costa	2	0	2	2012-01-30	2012-01-30	NULL	1	2012-01-30	2012-01-30
1566976	Daniel75	22	0	22	2013-06-20	2013-06-20	NULL	1	2013-06-20	2013-06-20
190196	FlorinMateiu	1	1	1	2009-12-09	2009-12-09	2009-12-09	1	2009-12-09	2009-12-09
121415	edvac	772	0	612	2014-11-12	2014-11-12	NULL	7	2014-11-19	2014-11-19
2271416	geltking	16	0	3	2014-08-18	2014-08-18	NULL	1	2014-08-18	2014-08-18
103253	gormur	1	0	0	2012-11-03	NULL	NULL	1	2012-11-03	2012-11-03
2325411	gabascal	113	0	87	2014-09-10	2014-09-10	NULL	7	2014-10-18	2014-09-17
698405	Leonardo Charrua	9	0	2	2012-06-07	2012-10-04	NULL	2	2012-08-06	2012-09-08
220415	Ein	285	0	162	2010-01-17	2010-01-17	NULL	26	2012-07-12	2012-10-22
210371	miozzo	186	0	177	2010-01-18	2010-01-25	NULL	7	2010-06-05	2010-09-20
1803387	otrojuan61	9	0	1	2013-11-12	2013-11-12	NULL	1	2013-11-12	2013-11-12
76002	salix01	2	0	2	2013-11-23	2013-11-23	NULL	1	2013-11-23	2013-11-23
2309684	acuster	902	0	799	2014-09-03	2014-09-03	NULL	4	2014-10-05	2014-09-15
2428789	constructor demente	1	0	1	2014-10-27	2014-10-27	NULL	1	2014-10-27	2014-10-27
184480	gaspard	1	0	1	2014-02-15	2014-02-15	NULL	1	2014-02-15	2014-02-15
3360808	Tribunal Supremo Electoral	1	0	1	2015-11-19	2015-11-19	NULL	1	2015-11-19	2015-11-19
224573	edufe_uy	2	0	1	2013-05-09	2013-05-09	NULL	2	2013-05-11	2013-05-11
3021810	dedelacoste	4	0	4	2015-06-28	2015-06-28	NULL	1	2015-06-28	2015-06-28
1412107	masani	53	0	53	2013-05-03	2013-05-03	NULL	7	2013-05-10	2013-05-23
665588	sirgabouy	43	0	8	2012-04-22	2012-04-22	NULL	3	2013-02-27	2012-11-14
722137	OSMF Redaction Account	82	0	0	2012-07-19	NULL	NULL	1	2012-07-19	2012-07-19
1765160	bruneti12	92	0	91	2013-10-04	2013-10-04	NULL	2	2014-10-08	2013-11-05
1786621	ecosdamontanha	30	0	30	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
338345	BrunoX	33	0	24	2010-08-25	2010-08-25	NULL	5	2012-07-17	2013-03-23
233173	gonchi	71	0	0	2010-02-15	NULL	NULL	1	2010-02-14	2010-02-14
3445794	Hegle Melgar	87	0	83	2015-12-10	2015-12-10	NULL	2	2015-12-10	2015-12-09
694400	WesGie	90	0	75	2012-06-20	2012-06-20	NULL	2	2012-06-21	2012-06-20
395522	guilleup	30	0	21	2011-01-15	2011-01-15	NULL	3	2011-01-18	2011-01-14
128186	malcolmh	33	0	0	2013-03-13	NULL	NULL	9	2014-09-22	2014-05-31
1164	dmgroom	104	0	85	2010-03-22	2010-03-22	NULL	2	2010-03-22	2010-03-21
404532	jaimemd	33	0	10	2016-01-15	2016-01-15	NULL	1	2016-01-15	2016-01-15
570551	kr12	98	0	72	2013-03-22	2013-03-22	NULL	1	2013-03-22	2013-03-22
1203657	Jan van Bekkum	2	0	2	2016-01-05	2016-01-05	NULL	1	2016-01-05	2016-01-05
2592887	ftarucco	1	0	0	2015-01-21	NULL	NULL	1	2015-01-21	2015-01-21
2809666	INGESUR SRL	31	0	18	2015-04-08	2015-04-08	NULL	4	2015-04-19	2015-04-16
413557	GabiB	16	0	6	2011-02-24	2011-02-24	NULL	1	2011-02-24	2011-02-24
31231	Andre68	4	0	0	2014-07-03	NULL	NULL	1	2014-07-03	2014-07-03
338385	RodneyV	68	5	37	2010-08-26	2010-08-26	2010-08-26	1	2010-08-26	2010-08-26
213831	Josef73	1	0	0	2015-06-06	NULL	NULL	1	2015-06-06	2015-06-06
153170	jlr56	92	0	6	2009-08-04	2009-08-04	NULL	4	2009-08-31	2009-08-11
10927	Skywave	1	0	0	2008-01-26	NULL	NULL	1	2008-01-26	2008-01-26
2974821	José Visca	26	0	26	2015-06-09	2015-06-09	NULL	1	2015-06-09	2015-06-09
3201000	Uruguay2015	1	0	1	2015-08-31	2015-08-31	NULL	1	2015-08-31	2015-08-31
2284732	RStercken	1	0	0	2014-08-23	NULL	NULL	1	2014-08-23	2014-08-23
1714181	grilix	96	0	9	2014-09-03	2014-09-03	NULL	1	2014-09-03	2014-09-03
277734	Lu Pa	3	0	3	2013-11-11	2013-11-11	NULL	3	2014-09-13	2014-09-13
1324121	tatoalbimarron	2	0	1	2013-04-03	2013-04-03	NULL	1	2013-04-02	2013-04-02
1548739	mvd_unde	58	0	23	2013-06-14	2013-06-14	NULL	4	2013-06-17	2013-06-16
416060	listoflights	22	2	22	2012-09-19	2012-09-19	2012-09-19	1	2012-09-19	2012-09-19
957503	diogenex	2	0	0	2012-10-08	NULL	NULL	1	2012-10-08	2012-10-08
332952	AV4TAr	4	0	4	2013-05-03	2013-05-03	NULL	1	2013-05-02	2013-05-02
381516	wesleygmartins	1	0	0	2015-06-15	NULL	NULL	1	2015-06-15	2015-06-15
1224178	pepito2k	53	0	52	2013-02-07	2013-02-07	NULL	1	2013-02-07	2013-02-07
196672	Fernando Reyes	11	0	0	2009-11-13	NULL	NULL	1	2009-11-13	2009-11-13
686616	yojotaele61	5	0	5	2012-05-22	2012-05-22	NULL	1	2012-05-21	2012-05-21
1357880	ivomdo	2	0	1	2013-04-14	2013-04-14	NULL	1	2013-04-14	2013-04-14
44221	dcp	32	0	0	2013-01-24	NULL	NULL	1	2013-01-24	2013-01-24
92387	SimonPoole	48	0	0	2014-09-03	NULL	NULL	1	2014-09-03	2014-09-03
519144	jos ignacio	40	0	16	2011-09-09	2011-09-09	NULL	7	2011-11-14	2011-11-11
23785	greecemapper	33	0	17	2012-02-26	2012-02-26	NULL	1	2012-02-25	2012-02-25
463504	erickdeoliveiraleal	6	0	0	2014-07-04	NULL	NULL	1	2014-07-04	2014-07-04
617571	jcnina	3	0	1	2012-03-05	2012-03-05	NULL	1	2012-03-05	2012-03-05
549221	mavcab	5	0	4	2011-11-04	2011-11-04	NULL	2	2011-11-06	2011-11-05
784213	fatto33	61	0	27	2012-08-06	2012-08-06	NULL	2	2012-08-07	2012-08-06
467700	jrbchato	1	0	0	2014-07-05	NULL	NULL	1	2014-07-05	2014-07-05
556511	Alvaro Rivoir	24	0	22	2011-11-19	2011-11-19	NULL	2	2013-01-10	2012-01-28
1908821	andrespua	17	0	17	2014-01-29	2014-01-29	NULL	1	2014-01-29	2014-01-29
1364378	MartinRdz	11	0	4	2013-04-16	2013-05-24	NULL	2	2013-05-05	2013-05-14
1810428	lelduayen	1	0	0	2013-11-18	NULL	NULL	1	2013-11-18	2013-11-18
411217	slaforgue	1	0	0	2015-09-16	NULL	NULL	1	2015-09-16	2015-09-16
1835829	GustavoFischer	1	0	1	2013-12-09	2013-12-09	NULL	1	2013-12-09	2013-12-09
413244	monoburgos	1	0	0	2011-02-23	NULL	NULL	1	2011-02-23	2011-02-23
390513	sn2318	1	0	1	2011-01-02	2011-01-02	NULL	1	2011-01-02	2011-01-02
402623	kimbawe	1	0	1	2011-01-31	2011-01-31	NULL	1	2011-01-31	2011-01-31
404160	Pachorro	1	0	1	2014-03-25	2014-03-25	NULL	1	2014-03-25	2014-03-25
